Training loss	Validation loss	Training bce loss	Validation loss	Training dice loss	Validation dice loss	Training dice	Validation dice
0.3766092673305553	0.3564869738542117	0.32626630156991293	0.3104175352133237	0.8296959944812435	0.7711119520795214	0.41963977	0.4570012
0.34196046388374185	0.3418250991092933	0.2905035983680715	0.29469801551038094	0.8050722990717206	0.765968884740557	0.46475154	0.5118152
0.3352316845298777	0.33202584038723953	0.2836744200910198	0.2847243393515492	0.7992471095044015	0.757739353965927	0.49338463	0.5364016
0.33265667406696514	0.33200960892897385	0.28118433733031434	0.28344490354532725	0.7959077435362372	0.7690920148577008	0.50768465	0.53933656
0.32912306226488713	0.33412343722123367	0.27761516501158073	0.28627497268902075	0.79269419012044	0.7647596702470885	0.5213073	0.54584605
0.3263345890932006	0.33652127968085993	0.2745315434556766	0.289217288350011	0.7925620401965962	0.7622572386657799	0.5236154	0.5546911
0.32625316111546643	0.33463862309089076	0.2747161210868558	0.2865393594071105	0.7900865722216686	0.7675320420946393	0.53472453	0.54832727
0.32414285625730244	0.32756691221352463	0.2723970409593171	0.27947639927759277	0.7898552363130924	0.760381566954183	0.53733164	0.55760604
0.32177992940270356	0.33530895002595673	0.26970781980338443	0.28726776288105893	0.7904289650788525	0.7676796834547441	0.53713083	0.5590665
0.32053716661473813	0.3265776070919666	0.2686084851502087	0.2790289992814536	0.7878953350200807	0.7545151153763572	0.5440886	0.56211627
0.320928146133847	0.3262846735152569	0.2690108522491635	0.27793914210665355	0.78818383081904	0.7613944961474493	0.5439405	0.55563706
0.3187047963675784	0.3236652059214456	0.2667631942306889	0.27481138771706887	0.786179254479164	0.7633495926856995	0.5480258	0.56248736
0.3185034483430199	0.3387203439251407	0.2665188096845246	0.29186163007558047	0.7863652399286748	0.7604488226083609	0.5471894	0.5493878
0.3160074396596122	0.32176908719670644	0.2637999064597801	0.2732157771076475	0.7858752818763095	0.7587489256492028	0.55213755	0.5718804
0.3162941935088114	0.32272278771295654	0.2641139605617266	0.2745199884687151	0.7859163334106178	0.7565480195558988	0.5549081	0.56871617
0.31611681803860114	0.32692936881557927	0.2641932434952163	0.27898198480789477	0.7834290291742495	0.758455854850811	0.55281216	0.5665893
0.31344133723938883	0.32751778619629995	0.26138129015013856	0.2796379755159001	0.7819818039788712	0.7584361276783786	0.5617756	0.56353235
0.31305298193124426	0.3257130305845659	0.2608234578306784	0.27679424151614473	0.7831187468333386	0.7659821818163107	0.56211317	0.56647795
0.31299554743374775	0.325074614076824	0.2608688433536622	0.27730663677493295	0.782135933075311	0.7549864518773425	0.56097305	0.57459825
0.3088599882437534	0.32685624341388325	0.2565117359884344	0.2789378829382278	0.7799943084665386	0.7581215284682892	0.5628459	0.5628453
0.310559116926476	0.32734671759081413	0.2583441537104527	0.2799340812387047	0.7804938252724084	0.7540604734158778	0.5614584	0.5562949
0.3101071873604448	0.31844377517700195	0.258033408549918	0.27016027582870733	0.7787712431660881	0.7529952991139758	0.5647256	0.57319915
0.30788730791797536	0.3264255782405099	0.2556887910051166	0.2793735079057924	0.7776740032707584	0.7498942423652817	0.5625731	0.5590536
0.3095402942111871	0.32683851823701965	0.25744887812921624	0.2792943629262212	0.7783630761817459	0.7547359558252188	0.5609615	0.57101274
0.3088188972273927	0.3292738834580222	0.25661528700927516	0.2816975982962074	0.7786514371874519	0.757460491342859	0.5690407	0.5666459
0.30679314541366864	0.3235481011343526	0.25429111936021687	0.27723975954474983	0.7793114228711295	0.7403232167055319	0.56577575	0.56659156
0.3081450231393392	0.3206139501634535	0.2558395381806032	0.2719905649895196	0.7788944281336432	0.7582244604498476	0.56587285	0.5727951
0.30721917736401777	0.32380641521988335	0.254921207972614	0.27696722271023216	0.7779009318094691	0.7453591705678584	0.56782895	0.56281364
0.30722318404929017	0.32076870117868694	0.255041222246188	0.2723063404088492	0.7768608882742108	0.756929983149518	0.56679875	0.5746768
0.30488160075845744	0.3250571934731452	0.2524804432758424	0.2781217391346837	0.77649204107629	0.7474763282052763	0.56966877	0.560043
0.304717262639511	0.3254315155548054	0.252370587577717	0.27810237237385343	0.7758373773965552	0.7513938487231077	0.56861186	0.5770993
0.3045255333747504	0.3247675699192089	0.2522007745472247	0.27690467909797206	0.7754483939502439	0.7555336146564274	0.56885254	0.5640267
0.30403500257155325	0.32825351285410453	0.2517095278456526	0.2812425097921392	0.7749643173179215	0.7513525793840597	0.5728826	0.57352346
0.3022090832017503	0.31975625373504973	0.2499378390228652	0.27220334129019097	0.7726503215388789	0.7477325207584506	0.5768564	0.5623057
0.30274377919914264	0.3213426752404852	0.25024207880233496	0.27477916796783824	0.7752591247828502	0.7404142814678151	0.574358	0.57492024
